LOC108695541	LOC108695541
LOC108695542	LOC108695542
LOC108695543	LOC108695543
LOC108695544	LOC108695544
LOC108695546	LOC108695546
LOC108695547	LOC108695547
LOC108695548	LOC108695548
LOC108695550	LOC108695550
LOC108695551	LOC108695551
LOC108695552	LOC108695552
LOC108695554	LOC108695554
LOC108695555	LOC108695555
LOC108695557	LOC108695557
LOC108695561	LOC108695561
LOC108695562	LOC108695562
LOC108695564	LOC108695564
LOC108695568	LOC108695568
LOC108695570	LOC108695570
LOC108695571	LOC108695571
LOC108695572	LOC108695572
LOC108695573	LOC108695573
LOC108695575	LOC108695575
LOC108695576	LOC108695576
LOC108695577	LOC108695577
LOC108695579	LOC108695579
LOC108695580	LOC108695580
LOC108695582	LOC108695582
LOC108695583	LOC108695583
LOC108695585	LOC108695585
LOC108695586	LOC108695586
LOC108695588	LOC108695588
LOC108695589	LOC108695589
LOC108695590	LOC108695590
LOC108695592	LOC108695592
LOC108695593	LOC108695593
LOC108695610	LOC108695610
LOC108695611	LOC108695611
LOC108695614	LOC108695614
LOC108695622	LOC108695622
LOC108695623	LOC108695623
LOC108695627	LOC108695627
LOC108695632	LOC108695632
LOC108695635	LOC108695635
LOC108695638	LOC108695638
LOC108695641	LOC108695641
LOC108695643	LOC108695643
LOC108695649	LOC108695649
LOC108695653	LOC108695653
LOC108695654	LOC108695654
LOC108695657	LOC108695657
LOC108695663	LOC108695663
LOC108695665	LOC108695665
LOC108695671	LOC108695671
LOC108695672	LOC108695672
LOC108695673	LOC108695673
LOC108695674	LOC108695674
LOC108695678	LOC108695678
LOC108695679	LOC108695679
LOC108695680	LOC108695680
LOC108695681	LOC108695681
LOC108695683	LOC108695683
LOC108695684	LOC108695684
LOC108695685	LOC108695685
LOC108695686	LOC108695686
LOC108695687	LOC108695687
LOC108695689	LOC108695689
LOC108695691	LOC108695691
LOC108695692	LOC108695692
LOC108695694	LOC108695694
LOC108695696	LOC108695696
LOC108695697	LOC108695697
LOC108695699	LOC108695699
LOC108695700	LOC108695700
LOC108695702	LOC108695702
LOC108695707	LOC108695707
LOC108695708	LOC108695708
LOC108695710	LOC108695710
LOC108695711	LOC108695711
LOC108695721	LOC108695721
LOC108695722	LOC108695722
LOC108695724	LOC108695724
LOC108695731	LOC108695731
LOC108695735	LOC108695735
LOC108695739	LOC108695739
LOC108695740	LOC108695740
LOC108695741	LOC108695741
LOC108695743	LOC108695743
LOC108695747	LOC108695747
LOC108695749	LOC108695749
LOC108695751	LOC108695751
LOC108695752	LOC108695752
LOC108695753	LOC108695753
LOC108695756	LOC108695756
LOC108695757	LOC108695757
LOC108695758	LOC108695758
LOC108695759	LOC108695759
LOC108695761	LOC108695761
LOC108695762	LOC108695762
LOC108695764	LOC108695764
LOC108695766	LOC108695766
LOC108695768	LOC108695768
LOC108695769	LOC108695769
LOC108695770	LOC108695770
LOC108695772	LOC108695772
LOC108695773	LOC108695773
LOC108695775	LOC108695775
LOC108695776	LOC108695776
LOC108695777	LOC108695777
LOC108695778	LOC108695778
LOC108695780	LOC108695780
LOC108695783	LOC108695783
LOC108695784	LOC108695784
LOC108695786	LOC108695786
LOC108695792	LOC108695792
LOC108695796	LOC108695796
LOC108695797	LOC108695797
LOC108695799	LOC108695799
LOC108695800	LOC108695800
LOC108695801	LOC108695801
LOC108695802	LOC108695802
LOC108695808	LOC108695808
LOC108695810	LOC108695810
LOC108695811	LOC108695811
LOC108695813	LOC108695813
LOC108695817	LOC108695817
LOC108695818	LOC108695818
LOC108695821	LOC108695821
LOC108695822	LOC108695822
LOC108695823	LOC108695823
LOC108695825	LOC108695825
LOC108695826	LOC108695826
LOC108695827	LOC108695827
LOC108695828	LOC108695828
LOC108695829	LOC108695829
LOC108695830	LOC108695830
LOC108695831	LOC108695831
LOC108695832	LOC108695832
LOC108695833	LOC108695833
LOC108695834	LOC108695834
LOC108695836	LOC108695836
LOC108695837	LOC108695837
LOC108695838	LOC108695838
LOC108695840	LOC108695840
LOC108695842	LOC108695842
LOC108695843	LOC108695843
LOC108695851	LOC108695851
LOC108695853	LOC108695853
LOC108695859	LOC108695859
LOC108695860	LOC108695860
LOC108695861	LOC108695861
LOC108695864	LOC108695864
LOC108695867	LOC108695867
LOC108695868	LOC108695868
LOC108695870	LOC108695870
LOC108695871	LOC108695871
LOC108695872	LOC108695872
LOC108695873	LOC108695873
LOC108695874	LOC108695874
LOC108695876	LOC108695876
LOC108695879	LOC108695879
